CONSTITUENCY,STATE
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS
AMALAPURAM,ANDHRA PRADESH
ANAKAPALLE,ANDHRA PRADESH
ANANTAPUR,ANDHRA PRADESH
ARAKU,ANDHRA PRADESH
BAPATLA,ANDHRA PRADESH
CHITTOOR,ANDHRA PRADESH
ELURU,ANDHRA PRADESH
GUNTUR,ANDHRA PRADESH
HINDUPUR,ANDHRA PRADESH
KADAPA,ANDHRA PRADESH
KAKINADA,ANDHRA PRADESH
KURNOOL,ANDHRA PRADESH
MACHILIPATNAM,ANDHRA PRADESH
NANDYAL,ANDHRA PRADESH
NARASARAOPET,ANDHRA PRADESH
NARSAPURAM,ANDHRA PRADESH
NELLORE,ANDHRA PRADESH
ONGOLE,ANDHRA PRADESH
RAJAHMUNDRY,ANDHRA PRADESH
RAJAMPET,ANDHRA PRADESH
SRIKAKULAM,ANDHRA PRADESH
TIRUPATI,ANDHRA PRADESH
VIJAYAWADA,ANDHRA PRADESH
VISAKHAPATNAM,ANDHRA PRADESH
VIZIANAGARAM,ANDHRA PRADESH
ARUNACHAL EAST,ARUNACHAL PRADESH
ARUNACHAL WEST,ARUNACHAL PRADESH
AUTONOMOUS DISTRICT,ASSAM
BARPETA,ASSAM
DHUBRI,ASSAM
DIBRUGARH,ASSAM
GAUHATI,ASSAM
JORHAT,ASSAM
KALIABOR,ASSAM
KARIMGANJ,ASSAM
KOKRAJHAR,ASSAM
LAKHIMPUR,ASSAM
MANGALDOI,ASSAM
NAWGONG,ASSAM
SILCHAR,ASSAM
TEZPUR,ASSAM
ARARIA,BIHAR
AURANGABAD,BIHAR
BANKA,BIHAR
BEGUSARAI,BIHAR
BHAGALPUR,BIHAR
DARBHANGA,BIHAR
GAYA,BIHAR
GOPALGANJ,BIHAR
HAJIPUR,BIHAR
JAMUI,BIHAR
JHANJHARPUR,BIHAR
KATIHAR,BIHAR
KHAGARIA,BIHAR
KISHANGANJ,BIHAR
MADHEPURA,BIHAR
MADHUBANI,BIHAR
MAHARAJGANJ,BIHAR
MUNGER,BIHAR
MUZAFFARPUR,BIHAR
NAWADA,BIHAR
PASCHIM CHAMPARAN,BIHAR
PURNIA,BIHAR
PURVI CHAMPARAN,BIHAR
SAMASTIPUR,BIHAR
SARAN,BIHAR
SHEOHAR,BIHAR
SITAMARHI,BIHAR
SIWAN,BIHAR
SUPAUL,BIHAR
UJIARPUR,BIHAR
VAISHALI,BIHAR
VALMIKI NAGAR,BIHAR
BASTAR,CHHATTISGARH
BILASPUR,CHHATTISGARH
DURG,CHHATTISGARH
JANJGIR CHAMPA,CHHATTISGARH
KANKER,CHHATTISGARH
KORBA,CHHATTISGARH
MAHASAMUND,CHHATTISGARH
RAIGARH,CHHATTISGARH
RAIPUR,CHHATTISGARH
RAJNANDGAON,CHHATTISGARH
SURGUJA,CHHATTISGARH
DADRA AND NAGAR HAVELI,DADRA AND NAGAR HAVELI
DAMAN AND DIU,DAMAN AND DIU
NORTH GOA,GOA
SOUTH GOA,GOA
AHMEDABAD EAST,GUJARAT
AHMEDABAD WEST,GUJARAT
AMRELI,GUJARAT
ANAND,GUJARAT
BANASKANTHA,GUJARAT
BARDOLI,GUJARAT
BHARUCH,GUJARAT
BHAVNAGAR,GUJARAT
CHHOTA UDAIPUR,GUJARAT
DAHOD,GUJARAT
GANDHINAGAR,GUJARAT
JAMNAGAR,GUJARAT
JUNAGADH,GUJARAT
KACHCHH,GUJARAT
KHEDA,GUJARAT
MAHESANA,GUJARAT
NAVSARI,GUJARAT
PANCHMAHAL,GUJARAT
PATAN,GUJARAT
PORBANDAR,GUJARAT
RAJKOT,GUJARAT
SABARKANTHA,GUJARAT
SURAT,GUJARAT
SURENDRANAGAR,GUJARAT
VADODARA,GUJARAT
VALSAD,GUJARAT
AMBALA,HARYANA
BHIWANI MAHENDRAGARH,HARYANA
FARIDABAD,HARYANA
GURGAON,HARYANA
HISAR,HARYANA
KARNAL,HARYANA
KURUKSETRA,HARYANA
KURUKSHETRA,HARYANA
ROHTAK,HARYANA
SIRSA,HARYANA
SONIPAT,HARYANA
CHATRA,JHARKHAND
DHANBAD,JHARKHAND
GIRIDIH,JHARKHAND
HAZARIBAGH,JHARKHAND
JAMSHEDPUR,JHARKHAND
KHUNTI,JHARKHAND
KODARMA,JHARKHAND
LOHARDAGA,JHARKHAND
PALAMU,JHARKHAND
RANCHI,JHARKHAND
SINGHBHUM,JHARKHAND
BAGALKOT,KARNATAKA
BANGALORE CENTRAL,KARNATAKA
BANGALORE NORTH,KARNATAKA
BANGALORE RURAL,KARNATAKA
BANGALORE SOUTH,KARNATAKA
BELGAUM,KARNATAKA
BELLARY,KARNATAKA
BIDAR,KARNATAKA
BIJAPUR,KARNATAKA
CHAMARAJANAGAR,KARNATAKA
CHIKKBALLAPUR,KARNATAKA
CHIKKODI,KARNATAKA
CHITRADURGA,KARNATAKA
DAKSHINA KANNADA,KARNATAKA
DAVANAGERE,KARNATAKA
DHARWAD,KARNATAKA
GULBARGA,KARNATAKA
HASSAN,KARNATAKA
HAVERI,KARNATAKA
KOLAR,KARNATAKA
KOPPAL,KARNATAKA
MANDYA,KARNATAKA
MYSORE,KARNATAKA
RAICHUR,KARNATAKA
SHIMOGA,KARNATAKA
TUMKUR,KARNATAKA
UDUPI CHIKMAGALUR,KARNATAKA
UTTARA KANNADA,KARNATAKA
ALAPPUZHA,KERALA
ALATHUR,KERALA
ATTINGAL,KERALA
CHALAKUDY,KERALA
ERNAKULAM,KERALA
IDUKKI,KERALA
KANNUR,KERALA
KASARAGOD,KERALA
KOLLAM,KERALA
KOTTAYAM,KERALA
KOZHIKODE,KERALA
MALAPPURAM,KERALA
MAVELIKKARA,KERALA
PALAKKAD,KERALA
PATHANAMTHITTA,KERALA
PONNANI,KERALA
THIRUVANANTHAPURAM,KERALA
THRISSUR,KERALA
VADAKARA,KERALA
WAYANAD,KERALA
LAKSHADWEEP,LAKSHADWEEP
BALAGHAT,MADHYA PRADESH
BETUL,MADHYA PRADESH
BHIND,MADHYA PRADESH
BHOPAL,MADHYA PRADESH
CHHINDWARA,MADHYA PRADESH
DAMOH,MADHYA PRADESH
GUNA,MADHYA PRADESH
